Auteur,identifiant cfr,prénom,nom,libellé,année de naissance,année de décès,uri
Moissy (Alexandre-Guillaume de),5034,Alexandre-Guillaume de,Moissy,Moissy (Alexandre-Guillaume de),,,http://data.bnf.fr/ark:/12148/cb120748738
Collé (Charles),5035,Charles,Collé,Collé (Charles),,,http://data.bnf.fr/ark:/12148/cb11998603b
Vigée (Louis-Jean-Baptiste-Étienne),5037,Louis-Jean-Baptiste-Étienne,Vigée,Vigée (Louis-Jean-Baptiste-Étienne),,,http://data.bnf.fr/ark:/12148/cb12529366n
Boutet de Monvel (Jacques-Marie),5039,Jacques-Marie,Boutet de Monvel,Boutet de Monvel (Jacques-Marie),,,http://data.bnf.fr/ark:/12148/cb12522773b
Laya (Jean-Louis),5043,Jean-Louis,Laya,Laya (Jean-Louis),,,http://data.bnf.fr/ark:/12148/cb11911466b
Falconnet (Françoise-Cécile),5044,Françoise-Cécile,Falconnet,Falconnet (Françoise-Cécile),,,http://data.bnf.fr/ark:/12148/cb12001378f
Dufrénoy (Adélaïde-Gillette Billet),5047,Adélaïde-Gillette Billet,Dufrénoy,Dufrénoy (Adélaïde-Gillette Billet),,,http://data.bnf.fr/ark:/12148/cb148398828
Favart (Charles-Simon),5052,Charles-Simon,Favart,Favart (Charles-Simon),,,http://data.bnf.fr/ark:/12148/cb120041282
Lesur (Charles-Louis),5055,Charles-Louis,Lesur,Lesur (Charles-Louis),,,http://data.bnf.fr/ark:/12148/cb12459966r
Fournelle (Jean-Nicolas),5063,Jean-Nicolas,Fournelle,Fournelle (Jean-Nicolas),,,http://data.bnf.fr/ark:/12148/cb121684586
Dampierre de la Salle,5070,,,Dampierre de la Salle,,,http://data.bnf.fr/ark:/12148/cb12349189t
Goldoni (Carlo),5074,Carlo,Goldoni,Goldoni (Carlo),,,http://data.bnf.fr/ark:/12148/cb11905320h
Artaud (Jean-Baptiste),5078,Jean-Baptiste,Artaud,Artaud (Jean-Baptiste),,,http://data.bnf.fr/ark:/12148/cb14568680w
Poinsinet (Antoine-Alexandre-Henri),5079,Antoine-Alexandre-Henri,Poinsinet,Poinsinet (Antoine-Alexandre-Henri),,,http://data.bnf.fr/ark:/12148/cb120065697
Arnaud (François-Thomas-Marie de Baculard d'),5089,François-Thomas-Marie de Baculard d',Arnaud,Arnaud (François-Thomas-Marie de Baculard d'),,,http://data.bnf.fr/ark:/12148/cb11889138g
Cahusac (Louis de),5091,Louis de,Cahusac,Cahusac (Louis de),,,http://data.bnf.fr/ark:/12148/cb11990784h
Demoustier (Charles-Albert),5095,Charles-Albert,Demoustier,Demoustier (Charles-Albert),,,http://data.bnf.fr/ark:/12148/cb11899541p
Guyot de Merville (Michel),5096,Michel,Guyot de Merville,Guyot de Merville (Michel),,,http://data.bnf.fr/ark:/12148/cb12463273v
Picard (Louis-Benoît),5097,Louis-Benoît,Picard,Picard (Louis-Benoît),,,http://data.bnf.fr/ark:/12148/cb12442349m
Montanclos (Marie-Émilie de),5101,Marie-Émilie de,Montanclos,Montanclos (Marie-Émilie de),,,http://data.bnf.fr/ark:/12148/cb143113444
Fenouillot de Falbaire de Quingey (Charles-Georges),5110,Charles-Georges,Fenouillot de Falbaire de Quingey,Fenouillot de Falbaire de Quingey (Charles-Georges),,,http://data.bnf.fr/ark:/12148/cb11902530n
Diderot (Denis),5118,Denis,Diderot,Diderot (Denis),,,http://data.bnf.fr/ark:/12148/cb11900134f
La Fontaine (Jean de),5121,Jean de,La Fontaine,La Fontaine (Jean de),,,http://data.bnf.fr/ark:/12148/cb11910267w
Dussieux (Louis),5128,Louis,Dussieux,Dussieux (Louis),,,http://data.bnf.fr/ark:/12148/cb119943920
Imbert (Barthélemy),5132,Barthélemy,Imbert,Imbert (Barthélemy),,,http://data.bnf.fr/ark:/12148/cb13014207q
Bastide (Jean-François de),5133,Jean-François de,Bastide,Bastide (Jean-François de),,,http://data.bnf.fr/ark:/12148/cb12160164c
Aude (Joseph),5135,Joseph,Aude,Aude (Joseph),,,http://data.bnf.fr/ark:/12148/cb118894656
Dorat (Claude-Joseph),5141,Claude-Joseph,Dorat,Dorat (Claude-Joseph),,,http://data.bnf.fr/ark:/12148/cb11900414n
Lemonnier (Pierre-René),5146,Pierre-René,Lemonnier,Lemonnier (Pierre-René),,,http://data.bnf.fr/ark:/12148/cb120070186
Bret (Antoine),5151,Antoine,Bret,Bret (Antoine),,,http://data.bnf.fr/ark:/12148/cb12051163w
Brousse-Desfaucherets (Jean-Louis),5152,Jean-Louis,Brousse-Desfaucherets,Brousse-Desfaucherets (Jean-Louis),,,http://data.bnf.fr/ark:/12148/cb12519850f
Anseaume (Louis) ; Marcouville (Pierre-Augustin Lefèvre de Marcouville dit),5154,Louis,Anseaume,Anseaume (Louis) ; Marcouville (Pierre-Augustin Lefèvre de Marcouville dit),,,http://data.bnf.fr/ark:/12148/cb11888912r
Pellegrin (Simon-Joseph),5165,Simon-Joseph,Pellegrin,Pellegrin (Simon-Joseph),,,http://data.bnf.fr/ark:/12148/cb120041460
Collot d'Herbois,5166,,,Collot d'Herbois,,,http://data.bnf.fr/ark:/12148/cb12173192j
Cérou (Pierre),5168,Pierre,Cérou,Cérou (Pierre),,,http://data.bnf.fr/ark:/12148/cb12927174x
Fabre d'Églantine (Philippe-François-Nazaire),5171,Philippe-François-Nazaire,Fabre d'Églantine,Fabre d'Églantine (Philippe-François-Nazaire),,,http://data.bnf.fr/ark:/12148/cb125243800
Boindin (Nicolas),5175,Nicolas,Boindin,Boindin (Nicolas),,,http://data.bnf.fr/ark:/12148/cb12170957h
Parisau (Pierre-Germain),5180,Pierre-Germain,Parisau,Parisau (Pierre-Germain),,,http://data.bnf.fr/ark:/12148/cb13014134b
Molé (François-René),5182,François-René,Molé,Molé (François-René),,,http://data.bnf.fr/ark:/12148/cb12515499q
André-Murville (Pierre-Nicolas),5183,Pierre-Nicolas,André-Murville,André-Murville (Pierre-Nicolas),,,http://data.bnf.fr/ark:/12148/cb124621871
