Auteur,identifiant cfr,prénom,nom,libellé,année de naissance,année de décès,uri
Desmarets de Saint-Sorlin (Jean),5792,Jean,Desmarets de Saint-Sorlin,Desmarets de Saint-Sorlin (Jean),,,http://data.bnf.fr/ark:/12148/cb12082496j
Nadal (Augustin),5797,Augustin,Nadal,Nadal (Augustin),,,http://data.bnf.fr/ark:/12148/cb119173357
Tronchin (François),5798,François,Tronchin,Tronchin (François),,,http://data.bnf.fr/ark:/12148/cb104885046
Boursault (Edme),5799,Edme,Boursault,Boursault (Edme),,,http://data.bnf.fr/ark:/12148/cb118935281
Deschamps (François-Michel-Chrétien),5801,François-Michel-Chrétien,Deschamps,Deschamps (François-Michel-Chrétien),,,http://data.bnf.fr/ark:/12148/cb13007978p
Ferrier de la Martinière (Louis),5806,Louis,Ferrier de la Martinière,Ferrier de la Martinière (Louis),,,http://data.bnf.fr/ark:/12148/cb16238915d
"Boyer (Claude, abbé) ; Le Clerc (Michel)",5813,Claude,Boyer,"Boyer (Claude, abbé) ; Le Clerc (Michel)",,,http://data.bnf.fr/ark:/12148/cb12462221c
Corneille (Thomas),5844,Thomas,Corneille,Corneille (Thomas),,,http://data.bnf.fr/ark:/12148/cb11998611z
Belin (François),5859,François,Belin,Belin (François),,,http://data.bnf.fr/ark:/12148/cb12238860d
Crébillon (Prosper Jolyot de),5860,Prosper Jolyot de,Crébillon,Crébillon (Prosper Jolyot de),,,http://data.bnf.fr/ark:/12148/cb11998713x
Genest (Charles-Claude),5862,Charles-Claude,Genest,Genest (Charles-Claude),,,http://data.bnf.fr/ark:/12148/cb122243798
Saurin (Bernard-Joseph),5875,Bernard-Joseph,Saurin,Saurin (Bernard-Joseph),,,http://data.bnf.fr/ark:/12148/cb12002643v
Pradon (Nicolas),5911,Nicolas,Pradon,Pradon (Nicolas),,,http://data.bnf.fr/ark:/12148/cb12074883k
Piron (Alexis),5914,Alexis,Piron,Piron (Alexis),,,http://data.bnf.fr/ark:/12148/cb11919915r
Molière,20,,,,,,http://data.bnf.fr/ark:/12148/cb11916418p
